product_id,product_name,aisle_id,department_id
1,Milk,1,1
2,Bread,1,1
3,Eggs,1,1
4,Butter,1,1
5,Cheese,1,1
6,Yogurt,1,1
7,Cereal,2,1
8,Oatmeal,2,1
9,GranolaBars,2,1
10,PancakeMix,2,1
11,Syrup,2,1
12,PeanutButter,3,1
13,Jelly,3,1
14,Spaghetti,4,2
15,TomatoSauce,4,2
16,Pasta,4,2
17,Rice,4,2
18,Beans,4,2
19,CannedVegetables,4,2
20,CannedFruit,4,2
21,Soup,4,2
22,Crackers,5,1
23,Chips,5,1
24,Pretzels,5,1
25,Popcorn,5,1
26,Soda,6,1
27,Water,6,1
28,Juice,6,1
29,Tea,6,1
30,Coffee,6,1
31,Sugar,7,1
32,Flour,7,1
33,BakingPowder,7,1
34,BakingSoda,7,1
35,Salt,7,1
36,Pepper,7,1
37,Spices,7,1
38,CookingOil,8,1
39,Vinegar,8,1
40,Mayonnaise,8,1
41,Ketchup,8,1
42,Mustard,8,1
43,Pickles,8,1
44,SaladDressing,8,1
45,FreshFruits,9,3
46,FreshVegetables,9,3
47,FrozenFruits,10,3
48,FrozenVegetables,10,3
49,IceCream,10,3
50,FrozenPizza,10,3
51,FrozenMeals,10,3
52,YogurtBars,10,3
53,DeliMeats,11,3
54,DeliCheeses,11,3
55,HotDogs,11,3
56,Bacon,11,3
57,Sausages,11,3
58,GroundBeef,11,3
59,Chicken,11,3
60,Fish,11,3
61,Shrimp,11,3
62,CannedTuna,12,3
63,CannedSalmon,12,3
64,FreshFish,12,3
65,Crab,12,3
66,Lobster,12,3
67,CodFish,12,3
68,BabyFood,13,1
69,BabyFormula,13,1
70,Diapers,13,1
71,Wipes,13,1
72,BabyLotion,13,1
73,BabyShampoo,13,1
74,BabyPowder,13,1
75,PetFood,14,1
76,CatFood,14,1
77,DogFood,14,1
78,DogTreats,14,1
79,CatLitter,14,1
80,BirdSeed,14,1
81,LaundryDetergent,15,4
82,FabricSoftener,15,4
83,DishSoap,15,4
84,PaperTowels,15,4
85,ToiletPaper,15,4
86,FacialTissues,15,4
87,TrashBags,15,4
88,AluminumFoil,16,4
89,PlasticWrap,16,4
90,ZiplocBags,16,4
91,DisposablePlates,16,4
92,DisposableUtensils,16,4
93,Batteries,17,4
94,LightBulbs,17,4
95,CleaningSupplies,18,4
96,BathroomCleaner,18,4
97,All-PurposeCleaner,18,4
98,GlassCleaner,18,4
99,OvenCleaner,18,4
100,Bleach,18,4
101,Sponges,18,4
102,Mop,18,4
103,Bucket,18,4
104,Broom,18,4
105,Dustpan,18,4
106,VacuumCleaner,18,4
107,GarbageDisposalCleaner,18,4
108,InsectRepellent,19,4
109,BugSpray,19,4
110,Sunscreen,19,4
111,Shampoo,20,5
112,Conditioner,20,5
113,BodyWash,20,5
114,Soap,20,5
115,Toothpaste,21,5
116,Toothbrushes,21,5
117,DentalFloss,21,5
118,Mouthwash,21,5
119,Razors,22,5
120,ShavingCream,22,5
121,Deodorant,23,5
122,Antiperspirant,23,5
123,Perfume,23,5
124,Cologne,23,5
125,Lotion,23,5
126,Sunblock,23,5
127,Makeup,24,5
128,NailPolish,24,5
129,HairGel,25,5
130,HairSpray,25,5
131,HairColor,25,5
132,Hairbrush,25,5
133,HairAccessories,25,5
134,FeminineHygiene,26,5
135,Condoms,26,5
136,PregnancyTests,26,5
137,ColdMedicine,27,6
138,CoughDrops,27,6
139,PainRelievers,27,6
140,AllergyMedicine,27,6
141,Vitamins,27,6
142,FirstAidSupplies,27,6
143,Band-Aids,27,6
144,HandSanitizer,27,6
145,ToiletCleaner,28,4
146,AirFreshener,28,4
147,DishwasherDetergent,28,4
148,DishwasherRinseAid,28,4
149,KitchenUtensils,29,4
150,Cookware,29,4
151,Bakeware,29,4
152,Dinnerware,29,4
153,Flatware,29,4
154,Glassware,29,4
155,CuttingBoards,29,4
156,FoodStorageContainers,29,4
157,TrashCans,29,4
158,ZipperBags,29,4
159,PlasticContainers,29,4
160,AluminumPans,29,4
161,FoilPans,29,4
162,ParchmentPaper,29,4
163,PotHolders,29,4
164,OvenMitts,29,4
165,KitchenTowels,29,4
166,PaperPlates,30,4
167,DisposableCups,30,4
168,PlasticCutlery,30,4
169,PartySupplies,30,4
170,BirthdayCandles,30,4
171,GiftWrap,30,4
172,GiftBags,30,4
173,GreetingCards,30,4
174,Decorations,30,4
175,DryerSheets,32,4
176,StainRemover,32,4
177,ExtensionCords,33,4
178,PowerStrips,33,4
179,LightFixtures,33,4
180,Brooms,34,4
181,Mops,34,4
182,Buckets,34,4
183,Dustpans,34,4
184,Brushes,34,4
185,Gloves,34,4
186,SurgeProtectors,35,4
187,VoltageAdapters,35,4
188,AllenKeys,35,4
189,ScrewDrivers,35,4
190,CableCutter,35,4
191,CoaxialCable,35,4
192,PVCExtensions,35,4
193,Nails,35,4
194,Nuts,35,4
195,Bolts,35,4
196,Gaskets,35,4
197,Washers,35,4
198,Shovels,35,4
199,ToolBoxes,35,4
200,ElectricityExtensions,35,4
